axis,family,spearman,ci_lo,ci_hi,n,abs_spearman,ci_excludes_zero
rand_dx_mean,reach,0.7228070175438598,0.38258797984849774,0.9091779109180085,19,0.7228070175438598,True
sin_dx_mean,reach,0.6719298245614035,0.25087861840220527,0.9147424511545295,19,0.6719298245614035,True
rand_dx_max,reach,0.5877192982456141,0.18083871580547115,0.855627796088563,19,0.5877192982456141,True
n_actuators,structural,0.45025638132375134,-0.00023450786435829716,0.7674082247083757,19,0.45025638132375134,False
nbr_dx_mean,neighborhood,0.4456140350877193,-0.009980606243189223,0.7522127837458397,19,0.4456140350877193,False
ko_frac_mean,knockout,0.3970588235294118,-0.23526359080007378,0.7887056934375517,17,0.3970588235294118,False
sin_best_dx,reach,0.39473684210526316,-0.08031872557054595,0.7762013983108302,19,0.39473684210526316,False
rand_dx_std,reach,-0.3649122807017544,-0.7312113174182139,0.14035154592181565,19,0.3649122807017544,False
aspect_ratio,structural,-0.35294120633145915,-0.6590623502234092,0.04320402844046635,19,0.35294120633145915,False
nbr_feasible_fraction,structural,0.34206472659945325,-0.11272026701566133,0.6571852795296851,19,0.34206472659945325,False
nbr_n_feasible,structural,0.34206472659945325,-0.12502732430904878,0.6398120616893717,19,0.34206472659945325,False
nbr_dx_max,neighborhood,0.3385964912280702,-0.12866803734860052,0.705966869902506,19,0.3385964912280702,False
ko_frac_min,knockout,0.29656862745098045,-0.31762701612903227,0.750343126991881,17,0.29656862745098045,False
rand_mean_speed,reach,0.28771929824561404,-0.20570887471793745,0.6643178100068403,19,0.28771929824561404,False
h_symmetry,structural,-0.2864960054265225,-0.6789792590066606,0.24154703048091286,19,0.2864960054265225,False
settle_mean_speed_tail,passive,-0.27368421052631575,-0.656401492578008,0.19969665420472263,19,0.27368421052631575,False
sin_best_dx_short,reach,0.25263157894736843,-0.27679552921669176,0.6643551236749116,19,0.25263157894736843,False
n_voxels,structural,0.2166213563572973,-0.25213345256729414,0.649016859152345,19,0.2166213563572973,False
compactness,structural,-0.20104205524588853,-0.6162688212479286,0.32970108523343283,19,0.20104205524588853,False
eff_dev_log,efficiency,0.1842105263157895,-0.3294258077793785,0.6178052834669039,19,0.1842105263157895,False
eff_dev,efficiency,0.1842105263157895,-0.29357958387433686,0.6334286602717518,19,0.1842105263157895,False
eff_raw,efficiency,0.1842105263157895,-0.34071407219014094,0.6088975725281229,19,0.1842105263157895,False
eff_raw_log,efficiency,0.1842105263157895,-0.3268504434198758,0.6290228443505222,19,0.1842105263157895,False
sin_dx_std,reach,0.17719298245614035,-0.33049212374444525,0.6646480331262937,19,0.17719298245614035,False
settle_max_speed_tail,passive,0.1701754385964912,-0.274683752697679,0.5596825250476365,19,0.1701754385964912,False
settle_com_x_drift,passive,-0.15263157894736842,-0.6543580109033089,0.4109275745709543,19,0.15263157894736842,False
settle_com_y_drift,passive,-0.15087719298245614,-0.5904526920255094,0.3363280634900638,19,0.15087719298245614,False
sin_best_pattern_id,reach,0.1507622969742763,-0.31029339693163754,0.5774490599292684,19,0.1507622969742763,False
ko_dx_delta_worst,knockout,-0.14736842105263157,-0.6383101764215946,0.3742527876631077,19,0.14736842105263157,False
nbr_dx_max_minus_self,neighborhood,0.14210526315789473,-0.3672576248325909,0.6187638832460836,19,0.14210526315789473,False
sin_dx_range,reach,0.1280701754385965,-0.41382937114655705,0.6280058172181197,19,0.1280701754385965,False
actuator_fraction,structural,0.12472797764321948,-0.3767110427525363,0.5830306757328161,19,0.12472797764321948,False
h_actuator_fraction,structural,0.1136695748661899,-0.3830186949978401,0.5926373009150041,19,0.1136695748661899,False
modularity,structural,0.07869133853470267,-0.42895513697408055,0.5692324749567474,19,0.07869133853470267,False
nbr_dx_std,neighborhood,0.06491228070175438,-0.4854111405835544,0.5178663755937727,19,0.06491228070175438,False
ko_dx_delta_mean,knockout,-0.04385964912280702,-0.5646879726951867,0.442827658154756,19,0.04385964912280702,False
nbr_dx_mean_minus_self,neighborhood,-0.03508771929824562,-0.4859201441595959,0.43645133689839566,19,0.03508771929824562,False
sin_best_freq,reach,-0.017830827808827582,-0.5261934547157258,0.5062252448983923,19,0.017830827808827582,False
