,n_voxels,n_actuators,actuator_fraction,h_actuator_fraction,aspect_ratio,compactness,h_symmetry,modularity,settle_com_y_drift,settle_com_x_drift,settle_max_speed_tail,settle_mean_speed_tail,rand_dx_mean,rand_dx_max,rand_dx_std,rand_mean_speed,sin_best_dx,sin_best_dx_short,sin_best_freq,sin_best_pattern_id,sin_dx_mean,sin_dx_std,sin_dx_range,eff_raw,eff_raw_log,eff_dev,eff_dev_log,ko_frac_mean,ko_frac_min,ko_dx_delta_mean,ko_dx_delta_worst,nbr_feasible_fraction,nbr_n_feasible,nbr_dx_mean,nbr_dx_max,nbr_dx_std,nbr_dx_mean_minus_self,nbr_dx_max_minus_self
n_voxels,1.0,0.3147219767269148,-0.15187847342097627,-0.009127090213067231,-0.025746754811082247,0.9212921150936828,0.0059849468508225276,-0.26922426714281017,0.4074964106262178,0.01201000118755066,0.2142145398255996,0.010149046338519166,0.022453238683482143,0.04352164467741004,-0.005937641691189763,0.07114299837348419,0.027717675919199585,0.06386601354218832,0.04489620720089457,-0.003503023496691435,0.010678014791448441,0.08247085970027754,0.0726261387093747,-0.06715002032250254,-0.06715002032250254,-0.0676806830703973,-0.0676806830703973,0.016023144592263984,-0.028565693649391287,-0.03434504779435182,-0.08335373068629358,0.5361572293634621,0.5361572293634621,0.019618054338416246,-0.07035934015320934,-0.23155433237572606,-0.01801610978127766,-0.1449174416337229
n_actuators,0.3147219767269148,1.0,0.8688120010606725,0.001352914393582954,0.009208826432515414,0.2881746552959375,0.08067187865386935,-0.03422758194219164,0.15740079385407646,-0.043662217397198,0.0021262455255974646,0.020753929236453857,-0.010548244548506227,0.14746767926001547,0.3196230233954051,0.5987051134715088,0.2531942172141066,0.21541975189103016,0.12730196124417825,0.07384700541848996,0.02950147001298739,0.36486354576211244,0.39828349736420476,-0.05110007072538619,-0.05110007072538619,-0.05099891450686463,-0.05099891450686463,0.24034395593655136,0.04073449019942907,-0.015415647168369538,-0.23526913881614103,0.7523687402684167,0.7523687402684167,0.16721255831811907,0.12042042495717405,-0.01629285447894208,-0.17587633850553006,-0.15390483800557364
actuator_fraction,-0.15187847342097627,0.8688120010606725,1.0,0.0023313804453106942,0.04172364361657097,-0.11208784057431827,0.08717237729181691,0.05173771671917059,-0.012076462010726239,-0.05946069935597402,-0.11631175998556377,0.024618029438372904,-0.02650598050201228,0.13386660927978877,0.34895624861201735,0.5948773456709087,0.26237826602800285,0.2019424056172005,0.10888498862496636,0.07568527615720615,0.023907455155163005,0.34583917418803306,0.38965739492021473,-0.005013739364669892,-0.005013739364669892,-0.004726388734504777,-0.004726388734504777,0.21659966036032463,0.04046065988285992,-0.02215107294365333,-0.22076625926828317,0.508645137004661,0.508645137004661,0.1696547606673582,0.16535446955371821,0.09953224377887243,-0.1808994936354909,-0.09693824187989865
h_actuator_fraction,-0.009127090213067231,0.001352914393582954,0.0023313804453106942,1.0,-0.13218354276506697,-0.012909367250850061,-0.03913391598566199,0.014006835361568258,-0.041115033754883186,0.06297528675119174,-0.030670975806425846,-0.028905032042935555,0.05428018485749784,-0.03169562534880313,-0.2308874061851301,-0.3268451351751072,0.14915641351121411,0.1943198015776411,-0.0004152626400414041,-0.027407683537784108,0.13741556803165678,0.045391731517457796,0.05859603822595891,0.1531848247440852,0.1531848247440852,0.15314811870206715,0.15314811870206715,-0.07299453003923126,-0.021963197768208226,-0.12230299443195046,-0.11028614076286969,0.017910453592621136,0.017910453592621136,0.07071632857094737,0.03524842356350729,0.008991554545647496,-0.09041944980329557,-0.08823998313020372
aspect_ratio,-0.025746754811082247,0.009208826432515414,0.04172364361657097,-0.13218354276506697,1.0,-0.06013090105887351,0.037112072940241256,0.04170084110492177,-0.10931247493739978,0.06788680432487505,-0.0013957834865329364,0.035911149762941956,-0.07683762288065416,-0.06980930049560079,0.05200430613911238,0.03172492651597189,-0.0014653208889189974,-0.03361743579526059,0.032174978911228204,0.09795926582459627,-0.026537859020499485,0.00022864182663211047,0.015807305728380627,-0.012944763470334675,-0.012944763470334675,-0.012519013078874614,-0.012519013078874614,-0.06906214841617135,-0.03119243942142944,-0.05106765527790025,-0.02799393563071368,-0.0352598201074059,-0.0352598201074059,-0.02738319695094974,0.0030831723764672327,0.01341046968864105,-0.041586106753008015,0.0007449861493992351
compactness,0.9212921150936828,0.2881746552959375,-0.11208784057431827,-0.012909367250850061,-0.06013090105887351,1.0,-0.019818383773836896,-0.3695637145072595,0.4169687942982406,0.0076915255899602545,0.19928565730014158,0.05590894286790656,0.014818932865583724,0.05067295402185781,0.018597368823888506,0.09473400300334894,0.02217424885456306,0.05141589752666092,0.0541708888536141,-0.006610869146534726,0.004210967558328767,0.06648987942083022,0.056019634745963845,-0.06071837991955776,-0.06071837991955776,-0.06144464152340756,-0.06144464152340756,0.017157922319515594,-0.04216039856713052,-0.03001801440928377,-0.07524738076226826,0.5257107413680064,0.5257107413680064,0.02500771793662496,-0.05395771088680188,-0.20683769209528022,-0.007947275143297879,-0.12025552933238334
h_symmetry,0.0059849468508225276,0.08067187865386935,0.08717237729181691,-0.03913391598566199,0.037112072940241256,-0.019818383773836896,1.0,0.043718437862438495,0.06959277164502291,-0.04328335782072777,-0.05824224118028807,-0.02492158103242308,-0.013158306842818821,0.02403130619363169,-0.0005930103096563724,0.041125829084033574,-0.02002990074062432,-0.04240046896619672,0.00811482987617724,0.035543989100482704,-0.0022806091564798784,-0.04458497861510705,-0.012079420637541468,-0.054089185912622385,-0.054089185912622385,-0.053962639954439784,-0.053962639954439784,-0.04091425023658006,-0.023123374957243245,0.03944700870621932,0.0375475829293945,0.010071695647035328,0.010071695647035328,-0.03043541570659262,-0.03455653598520849,-0.043681847250627515,0.0073185230647234804,-0.011492901449335596
modularity,-0.26922426714281017,-0.03422758194219164,0.05173771671917059,0.014006835361568258,0.04170084110492177,-0.3695637145072595,0.043718437862438495,1.0,-0.22350092660670204,0.006744478275099096,-0.008010450292977634,0.07644692609415671,0.02845256716441054,-0.021509397203043595,-0.1297752848365616,-0.12501197569913763,-0.00979867986022181,-0.03217214555658387,-0.03381121398528837,0.03320427374616526,0.005464359608679925,-0.07087396563703045,-0.04981820088449889,0.0018360297684565175,0.0018360297684565175,0.0020905770208815666,0.0020905770208815666,-0.04339532056180163,0.01059947969515384,0.006987741693294495,0.05459422475401552,-0.33274631901120627,-0.33274631901120627,-0.02085165541085828,0.016390243974072093,0.11236890080520158,-0.005309172514330152,0.0764631990714948
settle_com_y_drift,0.4074964106262178,0.15740079385407646,-0.012076462010726239,-0.041115033754883186,-0.10931247493739978,0.4169687942982406,0.06959277164502291,-0.22350092660670204,1.0,0.06348985360901341,0.16335564765829588,0.36051356151215336,-0.07699694251903026,-0.023645762097597195,0.1133082130762767,0.14705767074833628,0.08900733799321735,0.1262914168893321,-2.9815413263194612e-05,-0.02115158525597025,-0.0068646307515824526,0.15710881061687537,0.154890498714483,0.03331106752888777,0.03331106752888777,0.03273414921159369,0.03273414921159369,-0.06932071586728718,-0.08684385603547544,-0.1396374550738303,-0.17587869765294112,0.2457938710323479,0.2457938710323479,0.02631754751964994,-0.004485096165691823,-0.09873722694262188,-0.10129251203135423,-0.13716392021899446
settle_com_x_drift,0.01201000118755066,-0.043662217397198,-0.05946069935597402,0.06297528675119174,0.06788680432487505,0.0076915255899602545,-0.04328335782072777,0.006744478275099096,0.06348985360901341,1.0,0.03981511723340074,0.05142031807093654,-0.0030397864749446475,-0.041016367352384515,-0.04098328392439582,-0.06740022061729811,0.009031886952343256,0.05544488085618709,0.09171905813061781,0.11170158042450627,0.06479707428051831,-0.05044200543129349,-0.034917433235989656,0.020938476573974716,0.020938476573974716,0.02081478177562571,0.02081478177562571,0.05121721443419572,0.030323090667882625,0.006756241552580021,0.0027531467659477013,-0.02836063540469155,-0.02836063540469155,0.029784501883436048,0.040240087353583406,0.02802902463859837,0.0006888908598821848,0.030980616416763748
