protocol,statistic,episodes,sim_steps,spearman,ci_lo,ci_hi
current,max,1,300,0.35171508809746693,0.27471269317650315,0.41637416202743815
current,mean,1,300,0.35171508809746693,0.283346714921845,0.41807540316370695
current,max,2,600,0.4451897921938671,0.3801658830596928,0.5090664304706313
current,mean,2,600,0.3633161758782663,0.29043084136610975,0.43045996559762073
current,max,4,1200,0.5113629760082666,0.4464406851149099,0.5678779127629353
current,mean,4,1200,0.3898456940158167,0.3172570173356418,0.45995376688269196
current,max,8,2400,0.5428503412509478,0.47820089273116206,0.5990063379733959
current,mean,8,2400,0.4073820760613223,0.3413452198678845,0.4735738544075197
current,max,16,4800,0.5614477817993939,0.5036769561862724,0.617828389480126
current,mean,16,4800,0.4029450637362881,0.3343610360895442,0.4648902994937951
matched,max,1,500,0.44167161575448816,0.37309884737939675,0.5050857766707062
matched,mean,1,500,0.44167161575448816,0.3736571791488253,0.505037100174332
matched,max,2,1000,0.4909480859669054,0.42835063037667,0.5467340061033336
matched,mean,2,1000,0.3832634535095931,0.3170676077804201,0.45146342117486515
matched,max,4,2000,0.5305841960672113,0.4702671733082356,0.5855615605918026
matched,mean,4,2000,0.41439887333020364,0.35049093773291706,0.47977685340199505
matched,max,8,4000,0.5650849585693293,0.5102547963868462,0.6176279069428074
matched,mean,8,4000,0.4288017466715185,0.36273820881213353,0.49566886979603936
matched,max,16,8000,0.5708058633496205,0.5125134211673219,0.6235270997025603
matched,mean,16,8000,0.4151159308775857,0.34739626450552824,0.4818976237573803
