comparison,kind,diff,ci_lo,ci_hi,significant
matched(1 ep) - current(1 ep),equal episodes,0.08995652765702122,0.026109080320693954,0.15389491379668532,True
matched(2 ep) - current(2 ep),equal episodes,0.045758293773038305,-0.010497782550202868,0.10167997656450035,False
matched(4 ep) - current(4 ep),equal episodes,0.019221220058944666,-0.030374215178113964,0.0658739376102371,False
matched(8 ep) - current(8 ep),equal episodes,0.0222346173183815,-0.02146329900566679,0.06399987547181055,False
matched(16 ep) - current(16 ep),equal episodes,0.009358081550226549,-0.03469884035145068,0.05216924580251179,False
"matched(1 ep, 500 steps) - current(2 ep, 600 steps)",~equal cost,-0.0035181764393789616,-0.06487795827907282,0.05705519613397901,False
"matched(4 ep, 2000 steps) - current(8 ep, 2400 steps)",~equal cost,-0.012266145183736477,-0.05610857977722287,0.030334865391295512,False
"matched(8 ep, 4000 steps) - current(16 ep, 4800 steps)",~equal cost,0.0036371767699353574,-0.04133502582007967,0.050247753311806205,False
current: 1 -> 2 episodes,doubling,0.09347470409640019,0.05894006767243648,0.13177752867634515,True
current: 2 -> 4 episodes,doubling,0.06617318381439952,0.04194171749584742,0.09304796295621834,True
current: 4 -> 8 episodes,doubling,0.03148736524268114,0.005511743575947318,0.057542015463558124,True
current: 8 -> 16 episodes,doubling,0.018597440548446142,-0.006216701681215872,0.04094554362698422,False
