axis,perm_importance
n_voxels,0.0
n_actuators,0.0
actuator_fraction,0.0
h_actuator_fraction,0.0
aspect_ratio,0.0
compactness,0.0
h_symmetry,0.0
modularity,0.0
settle_com_y_drift,0.0
settle_com_x_drift,0.0
settle_max_speed_tail,0.0
settle_mean_speed_tail,0.0
rand_dx_mean,0.0
rand_dx_max,0.0
rand_dx_std,0.0
rand_mean_speed,0.0
sin_best_dx,0.0
sin_best_dx_short,0.0
sin_best_freq,0.0
sin_best_pattern_id,0.0
sin_dx_mean,0.0
sin_dx_std,0.0
sin_dx_range,0.0
eff_raw,0.0
eff_raw_log,0.0
eff_dev,0.0
eff_dev_log,0.0
ko_frac_mean,0.0
ko_frac_min,0.0
ko_dx_delta_mean,0.0
ko_dx_delta_worst,0.0
nbr_feasible_fraction,0.0
nbr_n_feasible,0.0
nbr_dx_mean,0.0
nbr_dx_max,0.0
nbr_dx_std,0.0
nbr_dx_mean_minus_self,0.0
nbr_dx_max_minus_self,0.0
