axis,family,top100_recall
n_actuators,structural,1.0
actuator_fraction,structural,1.0
compactness,structural,1.0
settle_mean_speed_tail,passive,1.0
rand_dx_mean,reach,1.0
rand_dx_max,reach,1.0
settle_com_y_drift,passive,1.0
sin_dx_range,reach,1.0
sin_dx_std,reach,1.0
ko_frac_mean,knockout,1.0
nbr_dx_mean_minus_self,neighborhood,1.0
sin_dx_mean,reach,1.0
sin_best_dx_short,reach,1.0
sin_best_dx,reach,1.0
rand_mean_speed,reach,1.0
nbr_dx_max,neighborhood,1.0
nbr_dx_mean,neighborhood,1.0
ko_frac_min,knockout,1.0
n_voxels,structural,0.0
h_symmetry,structural,0.0
aspect_ratio,structural,0.0
h_actuator_fraction,structural,0.0
settle_com_x_drift,passive,0.0
sin_best_pattern_id,reach,0.0
sin_best_freq,reach,0.0
modularity,structural,0.0
rand_dx_std,reach,0.0
settle_max_speed_tail,passive,0.0
eff_dev_log,efficiency,0.0
eff_raw,efficiency,0.0
eff_raw_log,efficiency,0.0
ko_dx_delta_worst,knockout,0.0
ko_dx_delta_mean,knockout,0.0
eff_dev,efficiency,0.0
nbr_n_feasible,structural,0.0
nbr_feasible_fraction,structural,0.0
nbr_dx_std,neighborhood,0.0
nbr_dx_max_minus_self,neighborhood,0.0
"GBT (all axes, out-of-fold)",model,0.0
